type, cores, size, time (s)
Sequential, 1, 1000, 9.390184000000001
Sequential, 1, 2000, 25.961275
Sequential, 1, 4000, 81.29168460000001
OpenMP, 1, 1000, 9.7085624
OpenMP, 2, 1000, 7.5490308
OpenMP, 4, 1000, 4.4583128
OpenMP, 8, 1000, 2.419528
OpenMP, 16, 1000, 1.3961283999999998
OpenMP, 32, 1000, 0.8559205999999999
OpenMP, 40, 1000, 0.7173103999999999
OpenMP, 1, 2000, 26.97803
OpenMP, 2, 2000, 23.121066199999998
OpenMP, 4, 2000, 12.664242
OpenMP, 8, 2000, 6.7840102
OpenMP, 16, 2000, 3.6033470000000003
OpenMP, 32, 2000, 2.060058
OpenMP, 40, 2000, 1.8368662
OpenMP, 1, 4000, 85.991137
OpenMP, 2, 4000, 80.0904948
OpenMP, 4, 4000, 43.8191024
OpenMP, 8, 4000, 22.6867504
OpenMP, 16, 4000, 12.535598599999998
OpenMP, 32, 4000, 7.150233
OpenMP, 40, 4000, 7.234122600000001
MPI, 1, 1000, 9.935278
MPI, 2, 1000, 8.070774
MPI, 4, 1000, 4.5900312
MPI, 8, 1000, 2.6024844
MPI, 16, 1000, 1.5857712
MPI, 32, 1000, 1.0697952
MPI, 40, 1000, 1.0497729999999998
MPI, 1, 2000, 28.257939800000003
MPI, 2, 2000, 24.4453594
MPI, 4, 2000, 13.367062200000001
MPI, 8, 2000, 7.6511528
MPI, 16, 2000, 4.0899598
MPI, 32, 2000, 2.5831652000000003
MPI, 40, 2000, 2.6118752
MPI, 1, 4000, 91.73575100000002
MPI, 2, 4000, 83.999712
MPI, 4, 4000, 46.5643218
MPI, 8, 4000, 24.4135262
MPI, 16, 4000, 15.1533882
MPI, 32, 4000, 7.686977000000001
MPI, 40, 4000, 12.2259088
MPI-OpenMP, 1, 4000, 42.7391094
MPI-OpenMP, 2, 4000, 22.188834399999998
MPI-OpenMP, 4, 4000, 12.366446800000002
MPI-OpenMP, 8, 4000, 7.1219182000000005
MPI-OpenMP, 10, 4000, 6.2069410000000005
MPI-OpenMP, 1, 2000, 12.4195408
MPI-OpenMP, 2, 2000, 6.5304145999999985
MPI-OpenMP, 4, 2000, 3.61432
MPI-OpenMP, 8, 2000, 2.3132227999999997
MPI-OpenMP, 10, 2000, 2.0365954
MPI-OpenMP, 1, 1000, 4.2670113999999995
MPI-OpenMP, 2, 1000, 2.4168292
MPI-OpenMP, 4, 1000, 1.6848067999999998
MPI-OpenMP, 8, 1000, 0.996965
MPI-OpenMP, 10, 1000, 0.7854094
CUDA, 1000448, 1000, 0.1295344
CUDA, 4000256, 2000, 0.4044912
CUDA, 16000000, 4000, 1.3098834
CUDA, 64000000, 8000, 4.953153599999999
CUDA, 256000000, 16000, 19.5248854
Pthreads, 1, 1000, 9.4137072
Pthreads, 2, 1000, 8.1297702
Pthreads, 4, 1000, 5.365680199999999
Pthreads, 8, 1000, 2.6386448
Pthreads, 16, 1000, 3.3726383999999996
Pthreads, 32, 1000, 3.8856962000000004
Pthreads, 40, 1000, 4.1496554
Pthreads, 1, 2000, 25.8049178
Pthreads, 2, 2000, 22.524130399999997
Pthreads, 4, 2000, 14.277892600000001
Pthreads, 8, 2000, 7.9682052
Pthreads, 16, 2000, 4.3504694
Pthreads, 32, 2000, 7.034443400000001
Pthreads, 40, 2000, 7.143440200000001
Pthreads, 1, 4000, 82.7012392
Pthreads, 2, 4000, 75.14547999999999
Pthreads, 4, 4000, 46.340891
Pthreads, 8, 4000, 24.198431399999997
Pthreads, 16, 4000, 12.9790164
Pthreads, 32, 4000, 10.501499599999999
Pthreads, 40, 4000, 9.9851986
